Linux 6.8.0-60-generic (roman) 	06/04/2025 	_x86_64_	(12 CPU)

09:34:08 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:34:09 AM  1000     20216  193.00   11.00    0.00    0.00  204.00     6  python3
09:34:10 AM  1000     20216   27.00    9.00    0.00    0.00   36.00     3  python3
09:34:11 AM  1000     20216  117.00   13.00    0.00    0.00  130.00     7  python3
09:34:12 AM  1000     20216  124.00    3.00    0.00    0.00  127.00     0  python3
09:34:13 AM  1000     20216  122.00    5.00    0.00    0.00  127.00     0  python3
09:34:14 AM  1000     20216  131.00    5.00    0.00    0.00  136.00     5  python3
09:34:15 AM  1000     20216  122.00    7.00    0.00    0.00  129.00    11  python3
09:34:16 AM  1000     20216  122.00    5.00    0.00    0.00  127.00    11  python3
09:34:17 AM  1000     20216  122.00    5.00    0.00    0.00  127.00    11  python3
09:34:18 AM  1000     20216  122.00    6.00    0.00    0.00  128.00    11  python3
09:34:19 AM  1000     20216  131.00    4.00    0.00    0.00  135.00     5  python3
09:34:20 AM  1000     20216  123.00    5.00    0.00    0.00  128.00     5  python3
09:34:21 AM  1000     20216  123.00    5.00    0.00    0.00  128.00    11  python3
09:34:22 AM  1000     20216  123.00    5.00    0.00    0.00  128.00    11  python3
09:34:23 AM  1000     20216  122.00    7.00    0.00    0.00  129.00     8  python3
09:34:24 AM  1000     20216  131.00    4.00    0.00    0.00  135.00     2  python3
09:34:25 AM  1000     20216  125.00    3.00    0.00    0.00  128.00     4  python3
09:34:26 AM  1000     20216  116.00    2.00    0.00    0.00  118.00     8  python3
